"タスク名","開始時刻","終了時刻","左クリック","右クリック","打鍵回数"
"TaskPit","2013年02月04日23時26分06秒","2013年02月04日23時26分07秒","1","0","0"
"ファイル操作","2013年02月04日23時26分07秒","2013年02月04日23時26分17秒","2","0","0"
"ファイル操作","2013年02月04日23時26分17秒","2013年02月04日23時26分21秒","1","0","0"
"登録外","2013年02月04日23時26分21秒","2013年02月04日23時26分25秒","1","0","0"
"登録外","2013年02月04日23時26分25秒","2013年02月04日23時26分27秒","1","0","0"
"ファイル操作","2013年02月04日23時26分27秒","2013年02月04日23時26分34秒","2","0","0"
"データ分析","2013年02月04日23時26分34秒","2013年02月04日23時26分36秒","0","0","0"
"データ分析","2013年02月04日23時26分36秒","2013年02月04日23時26分41秒","1","0","0"
"ファイル操作","2013年02月04日23時26分41秒","2013年02月04日23時26分44秒","2","0","0"
"データ分析","2013年02月04日23時26分44秒","2013年02月04日23時26分45秒","0","0","0"
"データ分析","2013年02月04日23時26分45秒","2013年02月04日23時26分46秒","1","0","0"
"ファイル操作","2013年02月04日23時26分46秒","2013年02月04日23時26分48秒","2","0","0"
"データ分析","2013年02月04日23時26分48秒","2013年02月04日23時26分49秒","0","0","0"
"データ分析","2013年02月04日23時26分49秒","2013年02月04日23時26分50秒","1","0","0"
"ファイル操作","2013年02月04日23時26分50秒","2013年02月04日23時27分00秒","2","0","0"
"ファイル操作","2013年02月04日23時27分00秒","2013年02月04日23時27分05秒","2","0","0"
"データ分析","2013年02月04日23時27分05秒","2013年02月04日23時27分06秒","0","0","0"
"データ分析","2013年02月04日23時27分06秒","2013年02月04日23時27分34秒","7","0","0"
"データ分析","2013年02月04日23時27分34秒","2013年02月04日23時27分35秒","1","0","0"
"ファイル操作","2013年02月04日23時27分35秒","2013年02月04日23時27分41秒","2","0","0"
"データ分析","2013年02月04日23時27分41秒","2013年02月04日23時27分43秒","0","0","0"
"データ分析","2013年02月04日23時27分43秒","2013年02月04日23時27分55秒","2","0","0"
"ファイル操作","2013年02月04日23時27分55秒","2013年02月04日23時28分05秒","2","0","0"
"ファイル操作","2013年02月04日23時28分05秒","2013年02月04日23時28分08秒","2","0","0"
"データ分析","2013年02月04日23時28分08秒","2013年02月04日23時28分10秒","0","0","0"
"データ分析","2013年02月04日23時28分10秒","2013年02月04日23時28分26秒","2","0","0"
"ファイル操作","2013年02月04日23時28分26秒","2013年02月04日23時28分29秒","2","0","0"
"データ分析","2013年02月04日23時28分29秒","2013年02月04日23時28分31秒","0","0","0"
"データ分析","2013年02月04日23時28分31秒","2013年02月04日23時28分39秒","2","0","0"
"ファイル操作","2013年02月04日23時28分39秒","2013年02月04日23時28分45秒","1","0","0"
"ファイル操作","2013年02月04日23時28分45秒","2013年02月04日23時28分48秒","1","0","0"
"ファイル操作","2013年02月04日23時28分48秒","2013年02月04日23時28分51秒","1","0","0"
"ファイル操作","2013年02月04日23時28分51秒","2013年02月04日23時28分57秒","2","0","0"
"データ分析","2013年02月04日23時28分57秒","2013年02月04日23時28分58秒","0","0","0"
"データ分析","2013年02月04日23時28分58秒","2013年02月04日23時29分00秒","1","0","0"
"ファイル操作","2013年02月04日23時29分00秒","2013年02月04日23時29分04秒","1","0","0"
"登録外","2013年02月04日23時29分04秒","2013年02月04日23時30分00秒","2","0","0"
"登録外","2013年02月04日23時30分00秒","2013年02月04日23時31分24秒","1","0","0"
"登録外","2013年02月04日23時31分24秒","2013年02月04日23時31分27秒","1","0","0"
"登録外","2013年02月04日23時31分27秒","2013年02月04日23時31分37秒","1","0","0"
"登録外","2013年02月04日23時31分37秒","2013年02月04日23時31分41秒","0","1","0"
"登録外","2013年02月04日23時31分41秒","2013年02月04日23時31分44秒","1","0","0"
"登録外","2013年02月04日23時31分44秒","2013年02月04日23時31分47秒","0","1","0"
"登録外","2013年02月04日23時31分47秒","2013年02月04日23時31分49秒","1","0","0"
"登録外","2013年02月04日23時31分49秒","2013年02月04日23時32分02秒","1","0","0"
"登録外","2013年02月04日23時32分02秒","2013年02月04日23時32分03秒","0","0","0"
"登録外","2013年02月04日23時32分03秒","2013年02月04日23時32分34秒","2","0","0"
"登録外","2013年02月04日23時32分34秒","2013年02月04日23時32分59秒","7","0","18"
"登録外","2013年02月04日23時32分59秒","2013年02月04日23時34分48秒","1","0","0"
"登録外","2013年02月04日23時34分48秒","2013年02月04日23時35分00秒","0","0","0"
"登録外","2013年02月04日23時35分00秒","2013年02月04日23時35分10秒","0","1","0"
"登録外","2013年02月04日23時35分10秒","2013年02月04日23時35分18秒","1","0","0"
"ファイル操作","2013年02月04日23時35分18秒","2013年02月04日23時35分21秒","1","0","0"
"ファイル操作","2013年02月04日23時35分21秒","2013年02月04日23時35分25秒","2","0","0"
"データ分析","2013年02月04日23時35分25秒","2013年02月04日23時35分28秒","0","0","0"
"データ分析","2013年02月04日23時35分28秒","2013年02月04日23時36分39秒","16","0","0"
"ファイル操作","2013年02月04日23時36分39秒","2013年02月04日23時36分51秒","1","0","0"
"登録外","2013年02月04日23時36分51秒","2013年02月04日23時37分09秒","5","0","0"
