"","ブラウザ - 右クリック","メール - 右クリック","ファイル操作 - 右クリック","調査　 - 右クリック","ＳＱＬサーバ　 - 右クリック","エクセル - 右クリック","ワード・パワポ - 右クリック","文書閲覧　 - 右クリック","テスト　 - 右クリック","プログラミング・デバッグ - 右クリック","登録外 - 右クリック"
"2013年02月05日11時25分","0","1","1","0","0","0","0","0","0","0","0"
"2013年02月05日11時30分","1","0","1","0","0","0","0","0","0","0","0"
"2013年02月05日11時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時25分","0","0","0","0","0","0","0","0","0","1","0"
"2013年02月05日13時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時35分","0","0","0","0","0","1","0","0","0","0","1"
"2013年02月05日13時40分","0","0","0","0","0","0","0","0","1","0","0"
"2013年02月05日13時45分","1","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日13時50分","0","0","0","0","0","0","0","0","3","0","3"
"2013年02月05日13時55分","0","0","0","0","0","0","0","0","0","2","0"
"2013年02月05日14時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時05分","0","0","0","0","0","0","0","0","0","8","0"
"2013年02月05日14時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時15分","0","0","5","0","0","0","0","0","0","0","0"
"2013年02月05日14時20分","0","0","3","0","0","0","0","0","0","1","0"
"2013年02月05日14時25分","0","0","1","0","0","1","0","0","0","0","0"
"2013年02月05日14時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時35分","0","0","6","0","0","0","0","0","0","0","0"
"2013年02月05日14時40分","0","0","2","0","0","0","0","0","0","0","0"
"2013年02月05日14時45分","0","0","0","0","0","0","0","0","0","1","0"
"2013年02月05日14時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日14時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時05分","0","0","0","0","0","0","0","0","0","0","3"
"2013年02月05日15時10分","0","0","0","0","0","0","0","0","0","1","0"
"2013年02月05日15時15分","2","0","7","0","0","0","0","0","0","0","0"
"2013年02月05日15時20分","0","0","4","0","0","0","0","0","0","0","2"
"2013年02月05日15時25分","0","0","1","0","0","0","0","0","0","0","0"
"2013年02月05日15時30分","0","0","0","0","0","9","0","0","0","0","1"
"2013年02月05日15時35分","1","0","0","0","0","1","0","0","0","0","0"
"2013年02月05日15時40分","0","0","1","0","0","2","0","0","0","0","0"
"2013年02月05日15時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時00分","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月05日16時05分","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日16時10分","0","0","0","0","0","0","0","0","0","0","3"
"2013年02月05日16時15分","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日16時20分","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日16時25分","1","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時35分","0","0","0","0","0","0","0","0","0","0","3"
"2013年02月05日16時40分","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月05日16時45分","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日16時50分","2","0","0","0","0","0","0","0","0","0","6"
"2013年02月05日16時55分","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日17時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時15分","0","0","1","0","0","0","0","0","0","0","0"
"2013年02月05日17時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時25分","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日17時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時50分","1","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日17時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時20分","0","0","1","0","0","0","0","0","0","1","0"
"2013年02月05日18時25分","2","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時30分","1","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時50分","0","0","1","0","0","0","0","0","0","0","0"
"2013年02月05日18時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時05分","0","0","0","0","0","0","0","0","0","0","0"
